Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 0, 76.875%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 1, 80.625%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 2, 78.75%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 3, 84.375%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 4, 83.125%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 5, 80.35714285714286%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 6, 83.125%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 7, 80.35714285714286%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 8, 82.14285714285714%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 9, 81.81818181818183%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 10, 81.25%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 11, 80.11363636363636%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 12, 81.81818181818183%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 13, 82.38636363636364%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 14, 81.52173913043478%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 15, 79.8913043478261%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 16, 78.64583333333334%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 17, 83.15217391304348%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 18, 83.85416666666666%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 19, 83.33333333333334%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 20, 81.25%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 21, 85.41666666666666%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 22, 81.5%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 23, 83.5%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 24, 86.5%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 25, 81.25%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 26, 83.33333333333334%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 27, 85.09615384615384%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 28, 82.87037037037037%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 29, 82.4074074074074%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 30, 88.39285714285714%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 31, 84.82142857142857%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 32, 84.05172413793103%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 33, 85.34482758620689%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 34, 82.91666666666667%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 35, 81.89655172413794%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 36, 84.58333333333333%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 37, 83.33333333333334%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 38, 87.09677419354838%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 39, 89.0625%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 40, 85.15625%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 41, 87.5%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 42, 81.81818181818183%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 43, 85.66176470588235%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 44, 87.14285714285714%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 45, 85.35714285714285%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 46, 86.42857142857143%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 47, 86.48648648648648%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 48, 87.5%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 49, 87.16216216216216%
Classifier: J48 options: -C 0.25 -M 2 Window size: 2048 Overlap: 50, 88.14102564102564%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 0, 85.1246105919003%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 1, 84.3558282208589%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 2, 85.48632218844985%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 3, 83.45921450151057%
Classifier: J48 options: -C 0.40 -M 2 Window size: 128 Overlap: 4, 84.23590504451039%
